Journal Name,Category & Journal Quartiles,,
CA-A CANCER JOURNAL FOR CLINICIANS,ONCOLOGY - SCIE(Q1),,
LANCET,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",,
NEW ENGLAND JOURNAL OF MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",,
"JAMA-JOURNAL OF THE AMERICAN
MEDICAL ASSOCIATION","MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",,
NATURE REVIEWS MOLECULAR CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),,
NATURE REVIEWS DRUG DISCOVERY,PHARMACOLOGY & PHARMACY - SCIE(Q1); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),,
NATURE REVIEWS IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),,
Lancet Respiratory Medicine,"RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE -
SCIE(Q1)",,
"BMJ-British Medical Journal
NATURE MEDICINE","MEDICINE, GENERAL & INTERNAL - SCIE(Q1)
MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY
- SCIE(Q1)",,
Lancet Microbe,INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1),,
World Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),,
NATURE REVIEWS MICROBIOLOGY,MICROBIOLOGY - SCIE(Q1),,
Lancet Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),,
Nature Reviews Materials,"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); MATERIALS
SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",,
"Nature Reviews Gastroenterology &
Hepatology",GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),,
Lancet Public Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL
HEALTH - SSCI(Q1)",,
CHEMICAL REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",,
LANCET INFECTIOUS DISEASES,INFECTIOUS DISEASES - SCIE(Q1),,
NATURE REVIEWS CANCER,ONCOLOGY - SCIE(Q1),,
NATURE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),,
NATURE BIOTECHNOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),,
Nature Energy,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1);
ENERGY & FUELS - SCIE(Q1)",,
CELL,"CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR
BIOLOGY - SCIE(Q1)",,
Nature Reviews Disease Primers,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",,
Nature Reviews Clinical Oncology,ONCOLOGY - SCIE(Q1),,
SCIENCE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),,
CHEMICAL SOCIETY REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",,
LANCET NEUROLOGY,CLINICAL NEUROLOGY - SCIE(Q1),,
